date,ruined,equity,start_equity,gross_pnl,cost,funding,net_pnl,gross_return,net_return,traded_notional,gross_exposure,net_exposure,long_pnl,short_pnl,n_positions,n_live,multiplier,ex_ante_vol,ex_ante_vol_full_signal,held_ex_ante_vol,target_tracking_error
2020-06-07,False,100169.9919283623,100180.72586061998,-7.953840256581338,0.10037200220783175,2.6797199988862963,-10.733932257675466,-7.939491542162914e-05,-0.00010714568261972301,100.37200220783174,5676.802918234929,5295.052019303894,-7.70456885384691,-0.2492714027344284,14,14,0.0057542761634465376,9.2030973930785,13.08971069700641,0.049327775004053505,0.006845199810728741
2020-06-08,False,100225.49326472932,100169.9919283623,58.425872280352294,0.15331416524384966,2.771221748088359,55.50133636702009,0.0005832672156161918,0.0005540714868651731,153.3141652438497,5783.005077082784,5440.412344291162,59.66176705445867,-1.2358947741063737,14,14,0.0057542761634465376,9.289470631311016,13.08971069700641,0.050004510631859136,0.006926262187188778
2020-06-09,False,100134.5424831504,100225.49326472932,-86.8365285298112,0.06410854558347949,4.050144503509727,-90.95078157890441,-0.0008664115855279122,-0.00090746155111128,64.10854558347948,5876.963960875943,5562.946762154995,-87.66007541650254,0.8235468866913378,14,14,0.0057542761634465376,9.346219765275816,13.08971069700641,0.05080286110040835,0.006619354198628901
2020-06-10,False,100218.0579418767,100134.5424831504,87.90298097880888,0.16356850701935063,4.223953745490104,83.51545872629943,0.0008778487303080281,0.0008340324592819959,163.56850701935065,5937.942066779378,5639.678740644534,89.58718934855469,-1.6842083697458128,14,14,0.0057542761634465376,9.400678867395465,13.08971069700641,0.05041485872680988,0.007036534774588711
2020-06-11,False,99685.71219462273,100218.0579418767,-527.714942698639,0.06232600162792676,4.568478553701476,-532.3457472539684,-0.0052656672214172915,-0.005311874508311786,62.32600162792676,6028.423896125018,5768.923185557642,-538.9128527382974,11.197910039658373,14,14,0.0057542761634465376,9.252033876938913,13.08971069700641,0.051472637228276025,0.006289718810805738
2020-06-12,False,99911.08836159307,99685.71219462273,231.66108672684516,3.6890795765056406,2.5958401799997493,225.37616697033977,0.002323914647613276,0.0022608672999228177,3689.079576505641,7269.01006932909,7028.976644332028,234.79413680277224,-3.133050075927084,18,18,0.0057542761634465376,11.754759650510392,16.873691236630414,0.06766714060232262,0.01068125723884683
2020-06-13,False,99969.23212779993,99911.08836159307,61.43255984080995,0.1900978182695685,3.0986958156800286,58.14376620686035,0.000614872291436526,0.000581955087872023,190.0978182695685,7330.106906394341,7070.539912789303,61.42230418924034,0.010255651569606252,18,18,0.0057542761634465376,11.079889629608127,16.873691236630414,0.06814413002802745,0.008600682960511257
2020-06-14,False,99723.01615009946,99969.23212779993,-242.37886871527917,0.6248653412838637,3.212243643902665,-246.2159777004657,-0.0024245346648799283,-0.002462917564333244,624.8653412838637,6783.920026025098,6507.107131346251,-244.28996431371496,1.911095598435778,17,17,0.0057542761634465376,9.895447400657224,15.93766590324396,0.0629312036267217,0.010017400941938504
2020-06-15,False,99744.90355459435,99723.01615009946,24.357167305572872,0.3344786707286923,2.135284139947185,21.887404494896995,0.00024424820112652177,0.00021948197457197712,334.4786707286923,6368.247883772712,5930.249591902279,22.207139627691852,2.1500276778810203,17,17,0.0057542761634465376,9.032831585630786,15.93766590324396,0.057737713032119324,0.009556065456753849
2020-06-16,False,99809.42290319584,99744.90355459435,66.22629966540893,0.3982087804984074,1.3087422834213758,64.51934860148914,0.0006639567266628379,0.0006468435609462005,398.2087804984074,6241.5530246784965,5556.397978709444,69.62474478416965,-3.398445118760714,17,17,0.0057542761634465376,8.230884748312684,15.93766590324396,0.053493308977246114,0.009667507106276627
